folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
経営学部,H2064000,経営情報システム論,2年・3年・4年,X1,Ｋ４０４,前期,木Ⅱ,選択,2
経営学部,H2065000,流通情報システム論,3年・4年,X1,１１－４０１,前期,木Ⅱ,選択,2
経営学部,H2066000,簿記１,1年・2年・3年・4年,X1,１２－３０３,前期,火Ⅰ,選択,2
経営学部,H2069000,マーケティング論,2年・3年・4年,X1,１１－１０１,前期,月Ⅴ,選択,2
経営学部,H2070000,職業指導,4年,X1,Ｇ２３１１,前期,金Ⅳ,選択,2
経営学部,H2071000,国際ビジネス論,2年・3年・4年,X1,１１－４０１,後期,水Ⅰ,選択,2
経営学部,H2072000,国際マーケティング論,3年・4年,X1,１１－１０１,後期,月Ⅰ,選択,2
経営学部,H2073000,プログラミング及び演習,1年・2年・3年・4年,X1,セ－実習室２,後期,金Ⅰ・金Ⅱ,選択,3
経営学部,H2074000,ビジュアル・デザイン,2年・3年・4年,X1,セ－実習室２,後期,月Ⅲ,選択,2
経営学部,H2075000,情報社会及び情報倫理,1年・2年・3年・4年,X1,１２－２０２,後期,月Ⅱ,選択,2
経営学部,H2076000,経済基礎知識,1年・2年・3年・4年,X1,Ｇ２２１０,前期,木Ⅳ,選択,2
経営学部,H2079000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
経営学部,T0102000,キャリアデザイン１,3年・4年,X1,自－３１１,前期,水Ⅳ,必修,2
経営学部,T0103000,キャリアデザイン２,3年・4年,X1,自－３１１,後期,水Ⅳ,必修,2
経営学部,T0207000,知的財産権,2年・3年・4年,X1,自－２０３,前期,水Ⅳ,選択,2
経営学部,T0207000,知的財産権,2年・3年・4年,再履１,自－別２０３,後期,水Ⅳ,選択,2
経営学部,T0208000,情報と職業,3年・4年,X1,自－別２０３,後期,金Ⅲ,選択,2
経営学部,T1004000,経営学概論１,1年・2年・3年・4年,X1,自－３１１,前期,火Ⅱ,必修,2
経営学部,T1026000,ビジネス英語１,2年・3年・4年,11,自－２０１,前期,月Ⅳ,必修,2
経営学部,T1026000,ビジネス英語１,2年・3年・4年,21,自－２０２,前期,月Ⅳ,必修,2
経営学部,T1026000,ビジネス英語１,2年・3年・4年,31,自－２０３,前期,月Ⅳ,必修,2
経営学部,T1117000,卒業研究,4年,X1,,通年,時間外,必修,6
経営学部,T1121000,マクロ経済学,2年・3年・4年,X1,自－３１１,後期,月Ⅲ,必修,2
経営学部,T1122000,コンピュータ概論１,1年・2年・3年・4年,X1,自－３１１,前期,火Ⅲ,必修,2
経営学部,T1123000,情報技術及び演習１,1年・2年・3年・4年,X1,自－２０１,前期,木Ⅰ・木Ⅱ,必修,3
経営学部,T1126000,生産管理論,2年・3年・4年,X1,自－３１１,前期,金Ⅲ,必修,2
経営学部,T1127000,会計学基礎論,1年・2年・3年・4年,X1,自－３１１,後期,木Ⅲ,必修,2
経営学部,T1128000,経営情報システム論,2年・3年・4年,X1,自－２０３,前期,火Ⅲ,必修,2
経営学部,T1129000,セミナー３,3年・4年,X1,,前期,月Ⅲ・火Ⅴ,必修,2
経営学部,T1130000,セミナー４,3年・4年,X1,,後期,月Ⅲ・火Ⅴ,必修,2
経営学部,T1131000,セミナー１,1年・2年・3年・4年,X1,,通年,火Ⅳ・木Ⅲ,必修,2
経営学部,T1132000,セミナー２,2年・3年・4年,X1,,通年,火Ⅰ・火Ⅲ・金Ⅳ,必修,2
経営学部,T1133000,簿記１,1年・2年・3年・4年,11,自－２０４,前期,水Ⅲ,必修,2
経営学部,T1133000,簿記１,1年・2年・3年・4年,21,自－２０４,前期,水Ⅳ,必修,2
経営学部,T1134000,ビジネスマネジメント１,2年・3年・4年,X1,自－２０３,前期,火Ⅱ,必修,2
経営学部,T1135000,プログラミング及び演習,1年・2年・3年・4年,11,自－２０１,後期,水Ⅲ・水Ⅳ,必修,3
経営学部,T1135000,プログラミング及び演習,1年・2年・3年・4年,21,自－２０２,後期,水Ⅲ・水Ⅳ,必修,3
経営学部,T1136000,原価計算論,2年・3年・4年,11,自－２０３,前期,月Ⅰ,必修,2
経営学部,T1136000,原価計算論,2年・3年・4年,21,自－２０３,前期,木Ⅰ,必修,2
経営学部,T1137000,データサイエンス基礎数学,1年,X1,自－３１１,前期,火Ⅰ,必修,2
経営学部,T1137000,データサイエンス基礎数学,2年,再履１,自－２０１,前期,火Ⅳ,必修,2
経営学部,T2011000,経営戦略論,3年・4年,X1,自－２０４,前期,月Ⅰ,選択,2
