point_id:ID,point_name,lat:double,lng:double,:LABEL
a,正門,35.18186301683754,137.1096056699753,Point;Building
b,,35.182169930239525,137.10973441600802,Point
c,,35.18270044924413,137.11013674736026,Point
d,,35.18273552475875,137.11026549339297,Point
e,,35.182564531481994,137.11022257804873,Point
f,バス停,35.18227954188795,137.1098738908768,Point;Building
g,,35.182814444611296,137.1109360456467,Point
h,,35.18370009547875,137.11085021495822,Point
i,,35.18284513564438,137.1111345291138,Point
j,,35.18268729592223,137.1114027500153,Point
k,,35.182840751211785,137.11179435253146,Point
l,,35.18293720867404,137.11222887039187,Point
m,,35.18269606480372,137.1116548776627,Point
n,,35.18371324863671,137.1110433340073,Point
o,,35.18389739262481,137.11103260517123,Point
p,,35.18419552962568,137.11153686046603,Point
q,,35.18394562074321,137.1115690469742,Point
r,,35.18374832371422,137.11160659790042,Point
s,,35.18392369887477,137.11135983467105,Point
t,,35.18275744694769,137.11250782012942,Point
u,,35.182744293635025,137.11315691471103,Point
v,,35.183099432329705,137.11223959922793,Point
w,テニスコート,35.18313889208886,137.1126633882523,Point;Building
x,,35.18387985512011,137.11355388164523,Point
y,AITプラザ,35.184186760905995,137.11181581020358,Point;Building
z,,35.18379216753985,137.1123039722443,Point
aa,,35.18400261757354,137.11227715015414,Point
ab,,35.18397192697758,137.11183190345767,Point
ac,2号館実験棟,35.18410345802157,137.11287796497348,Point;Building
ad,,35.18383601134181,137.11289405822757,Point
ae,,35.18418237654576,137.11369872093204,Point
af,,35.18399384883301,137.11372017860415,Point
ag,12号館,35.18371324863671,137.11357533931735,Point;Building
ah,,35.18401577068254,137.1139615774155,Point
ai,新2号館,35.18378339877662,137.1139830350876,Point;Building
aj,,35.18361240770452,137.1137470006943,Point
ak,,35.18355979499458,137.1131354570389,Point
al,,35.182744293635025,137.11384892463687,Point
am,,35.18435336641866,137.11368262767795,Point
an,セントラルテラス,35.184199913985196,137.11395621299746,Point;Building
ao,,35.18453750895638,137.11366653442386,Point
ap,,35.18456819933874,137.1134036779404,Point
aq,,35.1844805125012,137.11222350597384,Point
ar,7号館,35.18461642705909,137.11256682872775,Point;Building
as,1号館別館,35.18474357273004,137.11096286773684,Point;Building
at,,35.184594505371564,137.11097896099093,Point
au,9号館,35.18476987870609,137.11145102977756,Point;Building
av,,35.184625195732444,137.11146712303164,Point
aw,旧1号館,35.184458590777005,137.11149930953982,Point;Building
ax,,35.18431829160229,137.11152076721194,Point
ay,10号館,35.184278832415735,137.11100578308108,Point;Building
az,,35.18434021336429,137.11180508136752,Point
ba,,35.18465150174679,137.11327493190768,Point
bb,5号館講義実験棟,35.18456381499912,137.114052772522,Point;Building
bc,,35.184370903821176,137.11407423019412,Point
bd,,35.184379672521025,137.11433708667758,Point
be,8号館,35.184221835779134,137.11434781551364,Point;Building
bf,計算センター,35.18460765838479,137.11469113826755,Point;Building
bg,,35.18440159426649,137.11472332477572,Point
bh,,35.18441474731094,137.11518466472629,Point
bi,,35.184134148567864,137.11550652980807,Point
bj,,35.184813721980596,137.1155655384064,Point
bk,4号館別館,35.18520392608161,137.1155118942261,Point;Building
bl,,35.185085549754554,137.11593031883243,Point
bm,,35.18502855368374,137.11553335189822,Point
bn,,35.18518200455258,137.11522758007052,Point
bo,,35.18485318090741,137.11525440216067,Point
bp,4号館,35.18484879658316,137.11514711380008,Point;Building
bq,,35.184721651076835,137.11515784263614,Point
br,,35.18439720991786,137.11527049541476,Point
bs,,35.18355979499458,137.11579084396365,Point
bt,,35.18348964466167,137.1158015727997,Point
bu,,35.18290651767575,137.11546897888186,Point
bv,,35.18277498469459,137.1154046058655,Point
bw,,35.18272237144253,137.1153295040131,Point
bx,,35.184405978614855,137.11486816406253,Point
by,,35.18408153619567,137.11490571498874,Point
bz,,35.184037692526175,137.11436927318576,Point
ca,,35.184533124615086,137.11559772491458,Point
cb,,35.184555046319154,137.11575865745547,Point
cc,13号館,35.18476549437734,137.1157264709473,Point;Building
cd,6号館,35.18458573669492,137.11607515811923,Point;Building
ce,,35.184484896845326,137.11609661579135,Point
cf,3号館,35.18392369887477,137.11518466472629,Point;Building
cg,,35.18383601134181,137.11519002914432,Point
ch,,35.1838228582037,137.1150988340378,Point
ci,3号館別館,35.18370009547875,137.11510419845584,Point;Building
cj,バイオ環境化学実験棟,35.183726401792555,137.11538851261142,Point;Building
ck,図書館,35.1836211764862,137.1129155158997,Point;Building
cl,,35.182178699176845,137.1138542890549,Point
cm,情報教育センター,35.184625195732444,137.11497545242312,Point;Building
cn,,35.18441036296303,137.11499691009524,Point
co,11号館,35.18522146330057,137.1159249544144,Point;Building
cp,愛和会館,35.184221835779134,137.112250328064,Point;Building
